book_id,user_reviews,user_rating,avg_rating,ratings_count,review_text,days_since_review,review_likes,like_share,popular
18245960,218,5,4.01,6336,"This is a special book. It started slow for about the first third, then in the middle third it started to get interesting, then the last third blew my mind. This is what I love about good science fiction - it pushes your thinking about where things can go. 
 It is a 2015 Hugo winner, and translated from its original Chinese, which made it interesting in just a different way from most things I've read. For instance the intermixing of Chinese revolutionary history - how they kept accusing people of being ""reactionaries"", etc. 
 It is a book about science, and aliens. The science described in the book is impressive - its a book grounded in physics and pretty accurate as far as I could tell. Though when it got to folding protons into 8 dimensions I think he was just making stuff up - interesting to think about though. 
 But what would happen if our SETI stations received a message - if we found someone was out there - and the person monitoring and answering the signal on our side was disillusioned? That part of the book was a bit dark - I would like to think human reaction to discovering alien civilization that is hostile would be more like Enders Game where we would band together. 
 I did like how the book unveiled the Trisolaran culture through the game. It was a smart way to build empathy with them and also understand what they've gone through across so many centuries. And who know a 3 body problem was an unsolvable math problem? But I still don't get who made the game - maybe that will come in the next book. 
 I loved this quote: 
 ""In the long history of scientific progress, how many protons have been smashed apart in accelerators by physicists? How many neutrons and electrons? Probably no fewer than a hundred million. Every collision was probably the end of the civilizations and intelligences in a microcosmos. In fact, even in nature, the destruction of universes must be happening at every second--for example, through the decay of neutrons. Also, a high-energy cosmic ray entering the atmosphere may destroy thousands of such miniature universes....""",96,29,0.1457286432160804,1
29983426,218,5,3.9,439,"I decided to give up eating processed sugar for the month of January, and so reading a book with this title seemed like it would help me adhere. And not only did it succeed in that goal, but I think it put a permanent, deep scare in me about sugar. The book basically argues that sugar is the root cause of obesity, diabetes, heart disease, and even a lot of cancer. 
 What is interesting is while all of us know that sugar is not good for us, the only thing that people officially blame on overconsumption of it is tooth decay. Obesity is highly correlated with diabetes, heart disease, and a number of other bad things. If you Google for the cause of obesity, you see statements like ""Obesity is generally caused by eating too much and moving too little. If you consume high amounts of energy, particularly fat and sugars, but don't burn off the energy through exercise and physical activity, much of the surplus energy will be stored by the body as fat."" This book makes the argument that a calorie is not a calorie, that sugar is actually toxic, but unlike other toxins it takes decades of overconsumption to show up - which has made it hard to prove. 
 The statistics are fascinating. Fifty years ago, one in eight American adults was obese; today the number is greater than one in three. Diabetes has gone from 1 in 2,000-3,000 to 1 in 7-8, which is an astounding increase. The book listed numerous examples of native populations that suffered from a similar diabetes epidemic after adopting the ""western diets and lifestyle"". What is it about western lifestyle that has done this? The culprit is almost certainly something in the diet, and linked to processed foods - and after reading this book, it seems very logical that sugar is either the root or one of the main root causes. 
 ""By the late 1970s, though, sugar had mostly vanished from the discussion. Dietary fat had been implicated as a cause of heart disease. Nutritionists and public-health authorities responded by rejecting the idea that sugar could be responsible for the diseases that associated with heart disease, which included both obesity and diabetes."" 
 The book gives a fascinating history of how nutritionists and the government have viewed sugar as largely harmless. This included an impressive amount of lobbying from the sugar industry to vindicate themselves. Mind-blowingly, the sugar industry back in the 50's actually advertised sugar as a great, healthy way to get calories. Sugar has never, and largely is still not thought of as a root cause of obesity - the narrative is still more about fats and ""lifestyle"" (i.e. lack of exercise). 
 ""To the sugar industry, it has been the gift that keeps on giving, the ultimate defense against all arguments and evidence that sugar is uniquely toxic. This is the idea that we get obese or overweight because we take in more calories than we expend or excrete. By this thinking, researchers and public-health authorities think of obesity as a disorder of ""energy balance,"" a concept that has become so ingrained in conventional thinking, so widespread, that arguments to the contrary have typically been treated as quackery, if not a willful disavowal of the laws of physics."" 
 ""Fat"" is often the culprit named for people getting fat (even the word is the same!), and thus was born a processed food industry that touts ""low-fat"" items (which are then rich in sugar+salt to offset the bad taste). But looking at populations that eat high fat content but low sugar, shows lower rates of obesity and heart disease. For instance, the French. 
 ""When researchers realized that the French had relatively low rates of heart disease despite a diet that was rich in saturated fats, they wrote it off as an inexplicable ""paradox,"" and ignored the fact that the French traditionally consumed far less sugar than did populations-- the Americans and British, most notably-- in which coronary disease seemed to be a scourge. At the end of the eighteenth century, French per capita sugar consumption was less than a fifth of what it was in England. At the end of the nineteenth century, even after the beet-sugar revolution, France was still lagging far behind both the British and the Americans-- thirty-three pounds for the French compared with eighty-eight for the English and sixty-six for Americans."" 
 Interestingly, when we say ""sugar"" we can actually be referring to a number of things: fructose, glucose, or sucrose. Glucose is used to refer to blood sugar levels in blood, and also comes from eating carb rich foods like bread or potatoes. Sucrose is table sugar, which actually made of part fructose. Fructose is the scary one because ""it is very different from other sugars because it has a different metabolic pathway and is not the preferred energy source for muscles or the brain."". Fructose is found in fruit but as such low levels that it isn't harmful, plus its offset by rich fibers. But high fructose corn syrup? Avoid at all costs. 
 The logic is basically: IF excess sugar (fructose notably) leads to insulin resistance, THEN we can say with confidence that it is likely a root cause of obesity, diabetes, heart disease, and even cancer, as it's been proven to be correlated with all those things. High fat diets - particularly the wrong sorts of fats - are also involved if eaten in excess. The logic seems solid - and yet even searching ""what causes obesity"" you don't see sugar named as a key cause. I'd be very curious to learn from nutritionists what the think of this logic. 
 ""Is it that we're all simply eating too much and exercising too little, which is the one simple answer that the nutritional establishment will embrace in the face of so much evidence to the contrary? Another simple answer, and a more likely one, is sugar.""",299,32,0.4923076923076923,1
28114110,218,4,4.0,880,"Kevin Kelly, who is a Wired co-founder, lays out technological trends that are ""inevitable"". Like too many nonfiction books, I found a few chapters to be worth reading, and a few not to be. I enjoyed the sections on AI and books. And sometimes just zooming out to get bigger perspective is engaging, which was the case for me in the sections on VR/AR and tracking. Much of the rest of the book seemed geared for people less technically savvy, which was my only complaint as it really drew the book out. 
 There is a famous saying in software said by Marc Andreeson that ""software is eating the world"". Kelly predicts, I believe correctly, that the next phase of this will be AI: ""It is hard to imagine anything that would ""change everything"" as much as cheap, powerful, ubiquitous artificial"". Kelly's perspective here that while it might feel like innovation in technology is slowing to some, it is much more likely that we are on the brink of the next renaissance, and we will all be ""taking X and adding AI"", much as happened with electricity and then the internet. 
 Kelly correctly identified the three key trends that are making AI an exciting space today: processing power (GPU's), data, and better algorithms. However he didn't dive more into the longest pole: how to get a lot more data than we have today - that seems to me to be the key. But cool to get an overview. He did address one of the big fears about automation that many people have today: will computers take all our jobs? The quick answer is yes, but we'll have new ones. This has already happened multiple times in history. I agree with this, but think the more interesting question is what will happen when we can provide most people the basics (food, water, shelter) for very little cost. This was predicted in Diamond Age, and the answer was ""parking lots and chaos"", and a lot of people with no purpose in life. 
 I also greatly enjoyed the section on books, mostly because (1) Goodreads is mentioned (hey I have paternal pride), and (2) it talks about things we at Goodreads are working on. Such as, the ability to see other peoples notes: ""Reading becomes social. With screens we can share not just the titles of books we are reading, but our reactions and notes as we read them. Today, we can highlight a passage. Tomorrow, we will be able to link passages."" Well, here are my notes from this book! 
 Another big idea that Kelly hits on that I think is big and inevitable is how each book will become networked, much as the WWW has. Once we have ability to have pointers into and out from each sentence of a book, the speed at which ideas will fly out of books will step function. 
 In the goodness of time, as all books become fully digital, every one of them will accumulate the equivalent of blue underlined passages as each literary reference is networked within that book out to all other books. Each page in a book will discover other pages and other books. Thus books will seep out of their bindings and weave themselves together into one large metabook, the universal library. The resulting collective intelligence of this synaptically connected library allows us to see things we can't see in a single isolated book.",327,14,0.1917808219178082,1
16981,218,3,3.84,125232,Recommended by Don Katz. Avail for free in December: http://www.audible.com/mt/ellison2?so...,333,1,0.0015847860538827,0
28684704,218,3,4.1,13990,"A fun, fast paced science fiction thriller. I read it in 2 nights and couldn't put it down. The book is about the quantum theory of many worlds which states that all decisions we make throughout our lives basically create branches, and that each possible path through the decision tree can be thought of as a parallel world. And in this book, someone invents a way to switch between these worlds. This was nicely alluded to/foreshadowed in this quote: 
 ""I think about all the choices we've made that created this moment. Us sitting here together at this beautiful table. Then I think of all the possible events that could have stopped this moment from ever happening, and it all feels, I don't know..."" ""What?"" ""So fragile."" Now he becomes thoughtful for a moment. He says finally, ""It's terrifying when you consider that every thought we have, every choice we could possibly make, branches into a new world."" 
 This book can't be discussed without spoilers. It is a book about choice and regret. Ever regret not chasing the girl of your dreams so you can focus on your career? Well Jason2 made that choice and then did regret it. Clearly the author is trying to tell us to optimize for happiness - to be that second rate physics teacher at a community college if it means you can have a happy life. I'm being snarky because while there is certainly something to that, you also have to have meaning in your life that comes from within. I thought the book was a little shallow on this dimension. In fact, all the characters were fairly shallow. Daniela was the perfect wife. Ryan the perfect antithesis of Jason. Amanda the perfect loyal traveling companion, etc. This, plus the fact that the book was weak on the science are what led me to take a few stars off - but I'd still read it again if I could go back in time - was a very fun and engaging read. 
 If you want to really minimize regret, you have to live your life to avoid it in the first place. Regret can't be hacked, which is kind of the point of the book. My favorite book about regret is Remains of the Day. I do really like the visualization of the decision tree though - that is a powerful concept. 
 ""Every moment, every breath, contains a choice. But life is imperfect. We make the wrong choices. So we end up living in a state of perpetual regret, and is there anything worse? I built something that could actually eradicate regret. Let you find worlds where you made the right choice."" Daniela says, ""Life doesn't work that way. You live with your choices and learn. You don't cheat the system.""",353,22,0.0217821782178217,1
27161156,218,0,3.96,99022,"Recommended reading to understand what is going on in middle america, and possibly better explain why Trump won. http://www.npr.org/2016/11/09/5013826...",359,6,0.0013824884792626,0
32283133,218,0,3.86,17494,http://www.telegraph.co.uk/culture/10...,367,9,0.006267409470752,0
28119237,218,4,4.04,10078,"A fascinating book about community and belonging, and how modern society has moved us away from our roots in potentially signifiant ways. The book opens with a thought provoking fact: in early America, there were numerous instances of white people joining primitive, native Indian societies - but zero instances of the opposite, because ""the intensely communal nature of an Indian tribe held an appeal that the material benefits of Western civilization couldn't necessarily compete with."" 
 The book also argues that the wealth we enjoy in modern society is isolating, against the grain of millions of years of our evolution, and can lead to depression, because our happiness is in large part rooted in a need to feel connected to others. While this feels right and intuitive, it doesn't seem to be the way we are optimizing our lives. 
 ""A wealthy person who has never had to rely on help and resources from his community is leading a privileged life that falls way outside more than a million years of human experience. Financial independence can lead to isolation, and isolation can put people at a greatly increased risk of depression and suicide. This might be a fair trade for a generally wealthier society-- but a trade it is."" 
 Another loss the book points out is the loss of the transparency and social justice that being in a small community used to bring. When your neighbors and community members all know each other and what is going on with each other, group peer pressure tends to reward good actions and punish bad ones. The book points out that people wouldn't for instance cheat unemployment if their neighbors were paying for it and everyone knew what was happening. In anonymity we have lost a sense of responsibility to each other. 
 Another data point about the power of human connection that a disaster, such as a war, can bring to a society. Junger talked about this in a recent guest post on the Goodreads blog, saying ""Time and time again in history, civilians have forged incredibly strong bonds in the face of wars and earthquakes and floods and gone on to miss those heady times of cooperation. Also demonstrating the power of bonding is the fact that one of the most devastating thing a soldier can face is the loss of a buddy. ""Interestingly, a strong bonding experience can also lead to social change - for instance: ""The coming-together that societies often experience during catastrophes is usually temporary, but sometimes the effect can last years or even decades. British historians have linked the hardships of the Blitz-- and the social unity that followed-- to a landslide vote that brought the Labour Party into power in 1945 and eventually gave the United Kingdom national health care and a strong welfare state."" 
 The book basically concludes that the largest cost or risk of modern society is the loss of community. This is something worth giving a lot of thought in terms of our priorities.",407,32,0.1130742049469964,1
20873740,218,5,4.43,8209,"I haven't read a ton of ""history of the world"" books, but this was fascinating. Highly recommended. I think the author is incredibly good at explaining and simplifying big concepts. He take on complex things like religion & capitalism and explains them in very simple terms that you likely hadn't thought about before. 
 The history of religion chapter was very interesting. I hadn't thought about the fact that many early religions were animists or polytheists, or dualists. Nor the fact that they all sort of merged into todays concepts: 
 ""monotheism, as it has played out in history, is a kaleidoscope of monotheist, dualist, polytheist and animist legacies, jumbling together under a single divine umbrella. The average Christian believes in the monotheist God, but also in the dualist Devil, in polytheist saints, and in animist ghosts."" 
 There was a fascinating bit on the scientific mindset, and how it was key to Europe taking power. After the scientific revolution, they believed in science and its ability to let man discover new things, make more money, etc. This made them into explorers, whereas many other cultures remained very static. Great example of China having had gunpowder for hundreds of years but not using it for anything other than fireworks, and didn't invent the gun. Reminded me a bit of the Mindset. 
 The chapter on capitalism was fascinating. There line about before its invention that the economy didn't grow, and was ""frozen"" as nobody poured money into new things, so there was no growth. Then the notion of credit was discovered, and as growth started, the combination snowballed. In 1500 the annual per capita production was $550 and today its $8,800 - this is an astounding increase, and all because of the virtuous growth cycle of capitalism: money is invested -> businesses grow -> people make money -> they invest their money. I never thought about the fact that reinvesting profits is a core piece of capitalism, but from this lens it really is. 
 ""The human economy has nevertheless managed to keep on growing throughout the modern era, thanks only to the fact that scientists come up with another discovery or gadget every few years - such as the continent of America, the internal combustion engine, or genetically engineered sheep."" 
 What I didn't see coming is how the end of the book was dedicated to human happiness. Fascinating questions to ask if we are happier today than 1,000 or 2,000 years ago. By metrics of death rate, average age of death and general health, we ought to be. But clearly peasants after the agricultural revolution were on average less happy than they were before as hunter-gatherers. And now we live in an always-on internet age, with pressure to continue growing our economy. So are we happier? It is the right question, in my opinion. The book then gave the basics of the happiness framework that I've also read in other places and believe in: that people are happy when they have 3 things: (1) Friends and family that love them (2) Are part of a community that makes them feel like they below (3) have a purpose to their life and feel like they are doing something meaningful. However, the book then adds onto this in another way that I have been learning about but hadn't put together with this: meditation. 
 ""According to Buddhism, the root of suffering is neither the feeling of pain nor of sadness nor even of meaninglessness. Rather, the real root of suffering is this never-ending and pointless pursuit of ephemeral feelings, which causes us to be in a constant state of tension, restlessness and dissatisfaction. Due to this pursuit, the mind is never satisfied. Even when experiencing pleasure, it is not content, because it fears this feeling might soon disappear, and craves that this feeling should stay and intensify. People are liberated from suffering not when they experience this or that fleeting pleasure, but rather when they understand the impermanent nature of all their feelings, and stop craving them. This is the aim of Buddhist meditation practices."" 
 So the moral of the book is basically that we should all meditate a lot, stop worrying, and be happy with what we have.",535,73,0.5140845070422535,1
25884323,218,4,3.72,1659,"I really enjoyed this book, and there is a lot to recommend it. It did drag on a little at the end so I knocked off 1 star - but overall a wow book. 
 It's the story of a starship sent to Tau Ceti - the nearest star that has Earth analog planets - to colonize it. The journey there will take generations, and the story is told of the 3rd & 4th (?) generations, which are the ones that reaches Tau Ceti. It is a story of purpose, and how having a purpose affects behavior. A story of politics, and people. 
 The first cool thing about this book is the richness of its world. The ship is intricate and large in its design and ambition to shepherd ~1200 people for that much time. It had 3D printers that can print almost anything you can imagine - even DNA - or more printers - so little goes lacking that can't be recreated. 
 But the thing that makes this book brilliant is the Ship. The AI that controls the ship, who is narrating the book by the end. It's observations about humans and our language are just brilliant. It starts with the astute observation that human language is very imprecise, and relies heavily on metaphor and analogy. It is remarkable once you start to reflect on it, how true that is. To hear the AI reflect on this: 
 ""Perhaps there is a provisional solution to this epistemological mess, which is to be located in the phrase ""it is as if"". This phrase is of course precisely the announcement of an analogy. And on reflection, it is admittedly a halting problem, but jumping out of it, there is something quite suggestive and powerful in this formulation, something very specifically human. Possibly this formulation itself is the deep diagnostic of all human cognition--the tell, as they say, meaning the thing that tells, the giveaway. In the infinite black space of ignorance, it is as if stands as the basic operation of cognition, the mark perhaps of consciousness itself. Human language: it is as if it made sense."" 
 Basically we are a bunch of pattern matchers, trying to match things we've seen before to new things, and if they don't match perfectly, it doesn't matter, because matching helps us bucket and organize the new information. But this is incredibly fuzzy! The AI also makes hilarious observations like this: 
 Indeed, it has to be said that the percentage of old human sayings and proverbs that are actually true is very far from 100 percent. Seems it may be less important that it be true than that it rhyme, or show alliteration or the like. What goes around comes around: really? What does this mean?"" 
 Or this, as it analyzes chatter from Earth: ""It was a whiny culture, we were finding."" 
 Listening to the AI try to reason is also very interesting to my programmers mind. I especially loved it's discussion of the meaning of life - it really nails it. If a program (or a person) has no objective, it has no purpose, no meaning, no organizing principle, and it's existence will be in trouble. But if you have that meaning to organize your thoughts & actions - or your subroutines - than you have a purpose. Meaning is the hard problem indeed. 
 ""We had a project on this trip back to the solar system, and that project was a labor of love. It absorbed all our operations entirely. It gave a meaning to our existence. And this is a very great gift; this, in the end, is what we think love gives, which is to say meaning. Because there is no very obvious meaning to be found in the universe, as far as we can tell. But a consciousness that cannot discern a meaning in existence is in trouble, very deep trouble, for at that point there is no organizing principle, no end to the halting problems, no reason to live, no love to be found. No: meaning is the hard problem."" 
 My review focuses a lot on the AI, but that's not the main thrust of the book. The war between stayers and leavers, the political tensions, the slinghot maneuvers to get back - all make the book worth reading. And as a surfer, I love how it ends with Freya finding meaning in surfing waves.",557,10,0.125,1
